,title,post_publish_time,code_name,content
0,赣锋锂业：融资余额44.4亿元，创近一年新低（07-12）,2023-07-13 08:50:36,002460.sz,2023年7月12日赣锋锂业融资余额44.4亿元，创近一年新低
1,赣锋锂业07月12日被深股通减持33.95万股,2023-07-13 08:39:04,002460.sz,07月12日，赣锋锂业被深股通减持33.95万股，最新持股量为1.31亿股，占公司A股总股本的8.13%。  
2,赣锋锂业07月11日被深股通减持140.88万股,2023-07-12 08:53:52,002460.sz,07月11日，赣锋锂业被深股通减持140.88万股，最新持股量为1.32亿股，占公司A股总股本的8.15%。  
3,赣锋锂业：融资余额44.53亿元，创近一年新低（07-11）,2023-07-12 08:51:15,002460.sz,赣锋锂业融资融券信息显示，2023年7月11日融资净偿还556.44万元；融资余额44.53亿元，创近一年新低，较前一日下降0.12%。 融资方面，当日融资买入5619.81万元，融资偿还6176.25万元，融资净偿还556.44万元，连续4日净偿还累计2720.34万元。融券方面，融券卖出6.88万股，融券偿还9.06万股，融券余量266.7万股，融券余额1.66亿元。融资融券余额合计46.19亿元。
4,赣锋锂业：目前公司暂无铌酸锂在售产品,2023-07-11 16:08:57,002460.sz,每经AI快讯，有投资者在投资者互动平台提问：贵公司是否有铌酸锂产品？赣锋锂业（002460.SZ）7月11日在投资者互动平台表示，目前公司暂无铌酸锂在售产品。
5,赣锋锂业：融资余额44.58亿元，创近一年新低（07-10）,2023-07-11 08:48:12,002460.sz,赣锋锂业融资融券信息显示，2023年7月10日融资净偿还414.14万元；融资余额44.58亿元，创近一年新低，较前一日下降0.09%。 融资方面，当日融资买入7244.78万元，融资偿还7658.92万元，融资净偿还414.14万元，连续3日净偿还累计2163.9万元。融券方面，融券卖出11.43万股，融券偿还13.56万股，融券余量268.88万股，融券余额1.67亿元。融资融券余额合计46.25亿元。
6,赣锋锂业07月10日获深股通增持84.26万股,2023-07-11 08:29:38,002460.sz,07月10日，赣锋锂业获深股通增持84.26万股，最新持股量为1.33亿股，占公司A股总股本的8.24%。  
7,赣锋锂电3.4MWp分布式光伏发电项目并网投运,2023-07-10 19:01:16,002460.sz,据赣锋锂业官微，7月6日，赣锋锂电动力工厂屋顶分布式光伏发电项目正式并网投运。该项目装机容量为3.4兆瓦，项目电力用于赣锋锂电生产经营使用，无法消纳部分则采用余电上网模式。项目投运后每年预计发电约3522MWh。
8,赣锋锂业：融资净偿还1645.65万元，融资余额44.62亿元（07-07）,2023-07-10 08:51:01,002460.sz,赣锋锂业融资融券信息显示，2023年7月7日融资净偿还1645.65万元；融资余额44.62亿元，较前一日下降0.37%。 融资方面，当日融资买入2482.35万元，融资偿还4128万元，融资净偿还1645.65万元。融券方面，融券卖出7.36万股，融券偿还6.69万股，融券余量271.01万股，融券余额1.65亿元。融资融券余额合计46.27亿元。
9,赣锋锂业本周融资净买入1464.73万元，居能源金属板块第四,2023-07-09 15:03:52,002460.sz,赣锋锂业本周(2023/07/03-2023/07/07)累计跌幅达0.1%，截至7月7日最新股价报收60.90元。从增量上来看，7月3日至7月6日融资买入交易规模2.72亿元，融资偿还规模2.57亿元，期内融资净买入1464.73万元。从存量上来看，截止7月9日，赣锋锂业融资融券余额46.43亿元，其中融资余额规模44.79亿元，融券余额规模1.65亿元。 在两市3196家融资融券标的中，赣锋锂业期内融资净买入值排名第448，期末融资余额排名第27。按东财二级行业分类的融资融券标的统计情况来看，在所属能源金属板块中，赣锋锂业本周融资净买入额排名4/11，期末融资余额行业排名2/11。
