,title,post_publish_time,code_name,content
0,多主力现身龙虎榜，国缆检测涨停（08-02）,2023-08-02 16:24:49,301289.sz,深交所2023年8月2日交易公开信息显示，国缆检测因属于日涨幅达到15%的前5只证券、有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券而登上龙虎榜。国缆检测当日报收52.34元，涨跌幅为19.99%，换手率45.20%，振幅11.78%，成交额5.88亿元。 8月2日席位详情如下： 龙虎榜数据显示，今日共2个机构席位出现在龙虎榜单上，分别位列卖二、卖三。合计净卖出3995.27万元，占龙虎榜净卖额的42.9%。除此之外还有太平洋、鸿博股份、西部材料等22只个股榜单上出现了机构的身影，其中12家呈现机构净买入，获净买入最多的是国创高新，净买额为5576.35万元；10家呈现机构净卖出，其中遭净卖出最高的为太平洋，净卖额为2.47亿元。 榜单上出现了5家实力营业部的身影，分别位列买三、买四、买五、卖一、卖五，合计买入2195.86万元，卖出7964.74万元，净额为-5768.88万元。 买三为东方财富证券拉萨东环路第二证券营业部，该席位买入870.93万元，卖出181.94万元，净买额为689.00万元。近三个月内该席位共上榜1184次，实力排名第6。东方财富证券拉萨东环路第二证券营业部今日还参与了中孚实业（净买额3035.38万元），永鼎股份（净买额-2285.36万元），首创证券（净买额-1550.77万元）等12只个股。 买四为中国银河证券绍兴证券营业部，该席位买入686.02万元，卖出2.08万元，净买额为683.94万元。近三个月内该席位共上榜69次，实力排名第84。中国银河证券绍兴证券营业部今日还参与了鸿博股份（净买额4265.13万元），云南城投（净买额-1316.56万元）两只个股。 买五为东方财富证券拉萨团结路第二证券营业部，该席位买入620.59万元，卖出296.94万元，净买额为323.65万元。近三个月内该席位共上榜1182次，实力排名第7。东方财富证券拉萨团结路第二证券营业部今日还参与了永鼎股份（净买额2983.36万元），中孚实业（净买额2682.91万元），力帆科技（净买额1367.56万元）等14只个股。 卖一为国泰君安三亚迎宾路证券营业部，该席位卖出6008.84万元。近三个月内该席位共上榜40次，实力排名第30。国泰君安三亚迎宾路证券营业部今日还参与了南华仪器（净买额1970.57万元）。 卖五为华鑫证券上海陆家嘴证券营业部，该席位买入18.32万元，卖出1474.94万元，净买额为-1456.62万元。近三个月内该席位共上榜109次，实力排名第36。华鑫证券上海陆家嘴证券营业部今日还参与了英联转债（净买额4.32万元）。
1,国缆检测(301289)龙虎榜数据(08-02),2023-08-02 16:24:08,301289.sz,沪深交易所2023年08月02日公布的交易公开信息显示，国缆检测因成为日涨幅达到15%的前5只证券、有价格涨跌幅限制的连续3个交易日内收盘价格涨幅偏离值累计达到30%的证券上榜。国缆检测当日收报52.34元，涨跌幅19.99%，换手率45.20%，成交额5.88亿元。异常期间08月01日至08月02日，期间涨幅43.99%，累计偏离值44.6%，区间成交额9.0亿元。   
2,国缆检测放量涨停 两机构卖出3995万元,2023-08-02 16:22:34,301289.sz,2023年8月2日讯，国缆检测今日放量涨停，封单5097手，成交额近6亿元；盘后交易数据显示，两机构席位合计净卖出3995万元。
3,持续火爆 国缆检测连续20cm涨停！“牛市旗手”再度活跃 财达证券2连板,2023-08-02 12:48:28,301289.sz,周三，A股三大指数震荡调整，北证50指数逆势飘红。截至午间收盘，上证指数跌0.84%，深证成指跌0.42%，创业板指跌0.27%。北向资金半日净卖出34.86亿元。 盘面上，超导概念持续火爆，国缆检测连续第二个交易日收获“20cm”涨停；房地产板块局部活跃，云南城投涨停；券商股盘中冲高，财达证券涨停；银行、钢铁、石油等蓝筹股陷入调整，中国石油跌超4%。 个股方面，唯万密封早盘一度触及20%幅度涨停，午盘收涨12.04%。近日，唯万密封发布公告称，公司正在筹划以支付现金的方式购买上海嘉诺密封技术有限公司及广州加士特密封技术有限公司控股权；佰维存储上半年预计亏损2.8亿元至3.2亿元，开盘一路下挫，午盘收跌7.56%。   自7月底开始，室温超导概念席卷全球股市。韩国团队发表了两篇论文，宣称成功合成了世界上第一个室温常压超导体——改性铅磷灰石晶体结构（LK-99），引发全球关注。 随后，国际上多个研究团队试图合成“LK-99”。昨日，华中科技大学某课题组和美国国家实验室均在网上发布其实验结果，证明了“LK-99”材料很可能是一种室温常压超导体，起码是抗磁的，再度点燃市场。 今日早盘，A股超导概念持续活跃，延续了前一日的火热行情。截至午间收盘，国缆检测再度以20%幅度涨停，法尔胜、百利电气、中孚实业等涨停。 浙商证券分析，目前超导材料的应用局限于低温和高压环境，如果室温常压超导材料取得突破，将在能源、交通、计算、医疗检测等诸多领域产生变革。   在经历连续2日的缩量调整后，券商板块今日早盘表现强势，随后走势分化。截至午间收盘，财达证券收获2连板，华林证券盘中触及涨停，财通证券、首创证券、国联证券等涨超3%。 券商板块作为“行情风向标”，近期走出一轮震荡上涨行情，个股轮番涨停。业内人士提示，在持续大涨过后，券商股回调风险增加，投资者要谨慎参与。但从长期角度来看，券商股具备长线价值。 中航证券认为，站在当前时点，融资端改革随着全面注册制的落地，其大体框架已基本完成，而交易端改革也在陆续开展。一方面，随着全面注册制的落地，交易制度也随之改革，涨跌幅限制、定价制度、退市方式等相关政策均进行改革，更加市场化。此外，证监会近日《关于完善特定短线交易监管的若干规定》公开征求意见，明确细化特定短线交易的适用标准。交易端的改革均使得交易制度更加透明和便利，提高A股市场对投资者的吸引力。   房地产板块近期迎来一系列利好消息，今日早盘，地产股再度表现活跃。截至午间收盘，渝开发、云南城投涨停，中交地产、城投控股、中国武夷、天地源等盘中均触及涨停，午盘均涨超5%。 消息面上，8月1日，中国人民银行、国家外汇管理局召开2023年下半年工作会议。会议提出，支持房地产市场平稳健康发展，落实好“金融16条”，延长保交楼贷款支持计划实施期限，保持房地产融资平稳有序，加大对住房租赁、城中村改造、保障性住房建设等金融支持力度。因城施策精准实施差别化住房信贷政策，继续引导个人住房贷款利率和首付比例下行，更好满足居民刚性和改善性住房需求。指导商业银行依法有序调整存量个人住房贷款利率。 中信证券表示，本次会议提及“指导商业银行依法有序调整存量个人住房贷款利率”，自7月14日央行表态“支持和鼓励”存量按揭利率调整后，此次会议为监管层面首次正式发声，预计后续将有正式指导文件出台。
4,国缆检测涨19.99%，股价创历史新高,2023-08-02 09:39:04,301289.sz,国缆检测股价创出历史新高，截至09:32，该股上涨19.99%，股价报52.34元，成交量530.78万股，成交金额2.67亿元，换手率20.94%，最新A股总市值达40.83亿元，A股流通市值13.27亿元。 证券时报·数据宝统计显示，国缆检测所属的社会服务行业，今日整体跌幅为0.53%，行业内，今日股价上涨的有12只，涨幅居前的有国缆检测、*ST三盛、西高院等，涨幅分别为19.99%、2.20%、2.11%。股价下跌的有62只，跌幅居前的有金陵饭店、祥源文旅、西安饮食等，跌幅分别为4.64%、3.34%、2.73%。 两融数据显示，该股最新（8月1日）两融余额为5294.19万元，其中，融资余额为5294.19万元，近10日减少576.96万元，环比下降9.83%。 公司发布的一季报数据显示，一季度公司共实现营业收入5737.29万元，同比增长8.82%，实现净利润1515.91万元，同比下降9.59%，基本每股收益为0.2527元，加权平均净资产收益率1.68%。（数据宝）
7,国缆检测：融资净偿还170.69万元，融资余额5294.19万元（08-01）,2023-08-02 09:01:56,301289.sz,国缆检测融资融券信息显示，2023年8月1日融资净偿还170.69万元；融资余额5294.19万元，较前一日下降3.12%。 融资方面，当日融资买入774.8万元，融资偿还945.49万元，融资净偿还170.69万元。融券方面，融券卖出0股，融券偿还0股，融券余量0股，融券余额0元。融资融券余额合计5294.19万元。
8,国缆检测(301289)龙虎榜数据(08-01),2023-08-01 16:29:04,301289.sz,沪深交易所2023年08月01日公布的交易公开信息显示，国缆检测因成为日涨幅达到15%的前5只证券上榜。国缆检测当日收报43.62元，涨跌幅20.00%，换手率29.67%，成交额3.12亿元。 
9,多主力现身龙虎榜，国缆检测涨停（08-01）,2023-08-01 16:26:01,301289.sz,深交所2023年8月1日交易公开信息显示，国缆检测因属于日涨幅达到15%的前5只证券而登上龙虎榜。国缆检测当日报收43.62元，涨跌幅为20.00%，换手率29.67%，振幅21.79%，成交额3.12亿元。 8月1日席位详情如下： 龙虎榜数据显示，今日共4个机构席位出现在龙虎榜单上，分别位列卖一、卖三、卖四、卖五，合计净卖出4011.90万元，占该股今日总成交额的12.86%。除此之外还有城建发展、石英股份、顶点软件等28只个股榜单上出现了机构的身影，其中5家呈现机构净买入，获净买入最多的是太平洋，净买额为1.19亿元；23家呈现机构净卖出，其中遭净卖出最高的为城建发展，净卖额为4.68亿元。 榜单上出现了5家实力营业部的身影，分别位列买一、买三、买四、买五、卖二，合计买入8371.63万元，卖出1075.57万元，净额为7296.06万元。 买一为国泰君安三亚迎宾路证券营业部，该席位买入5098.12万元。近三个月内该席位共上榜37次，实力排名第31。 买三为华鑫证券上海陆家嘴证券营业部，该席位买入1269.05万元，卖出26.74万元，净买额为1242.31万元。近三个月内该席位共上榜107次，实力排名第36。华鑫证券上海陆家嘴证券营业部今日还参与了慧博云通（净买额2589.51万元），永鼎转债（净买额-16.11万元）两只个股。 买四为华鑫证券成都交子大道证券营业部，该席位买入1046.88万元。近三个月内该席位共上榜157次，实力排名第24。华鑫证券成都交子大道证券营业部今日还参与了中润资源（净买额3352.07万元），慧博云通（净买额2933.05万元），东旭光电（净买额1994.88万元）三只个股。 买五为华鑫证券上海分公司，该席位买入932.16万元，卖出5.77万元，净买额为926.39万元。近三个月内该席位共上榜354次，实力排名第16。华鑫证券上海分公司今日还参与了众泰汽车（净买额3012.91万元），东旭光电（净买额1500.80万元），华西能源（净买额1456.90万元）等13只个股。 卖二为中国国际金融上海分公司，该席位买入25.41万元，卖出1043.05万元，净买额为-1017.64万元。近三个月内该席位共上榜1146次，实力排名第4。中国国际金融上海分公司今日还参与了太平洋（净买额1.16亿元），信达证券（净买额7500.54万元），城建发展（净买额6294.08万元）等14只个股。
10,国缆检测放量涨停 四机构卖出4012万元,2023-08-01 16:24:55,301289.sz,2023年8月1日讯，国缆检测今日放量涨停，封单8519手，成交额近3亿元；盘后交易数据显示，四机构席位合计净卖出4012万元。
11,国缆检测：融资净买入8.93万元，融资余额5464.88万元（07-31）,2023-08-01 09:03:33,301289.sz,国缆检测融资融券信息显示，2023年7月31日融资净买入8.93万元；融资余额5464.88万元，较前一日增加0.16%。 融资方面，当日融资买入136.19万元，融资偿还127.26万元，融资净买入8.93万元。融券方面，融券卖出0股，融券偿还0股，融券余量0股，融券余额0元。融资融券余额合计5464.88万元。
