,title,post_publish_time,code_name,content
0,孚能科技07月12日获沪股通增持6.88万股,2023-07-13 09:16:27,688567.sh,07月12日，孚能科技获沪股通增持6.88万股，最新持股量为347.33万股，占公司A股总股本的0.29%。
1,孚能科技：融资净买入30.54万元，融资余额5.24亿元（07-12）,2023-07-13 07:45:36,688567.sh,孚能科技融资融券信息显示，2023年7月12日融资净买入30.54万元；融资余额5.24亿元，较前一日增加0.06%。 融资方面，当日融资买入600.43万元，融资偿还569.88万元，融资净买入30.54万元。融券方面，融券卖出8.33万股，融券偿还16.55万股，融券余量548.86万股，融券余额1.24亿元。融资融券余额合计6.48亿元。
2,孚能科技：目前公司实际产能适配订单需求；当前产能有序扩张 逐步实现规模化生产,2023-07-12 16:38:47,688567.sh,每经AI快讯，有投资者在投资者互动平台提问：公司5月3日业绩沟通会，王总表述，2023年底，公司产能保守产能50G，请问，这个50G的产能听上去是具备的实际有效产能，是否属实呢？如果50G+有效产能属实，那么2024年的市场需求端对孚能科技的预测需求是多少？能形成到70%的产能利用率？SPS大软包，预计2024年的需求如何？ 孚能科技（688567.SH）7月12日在投资者互动平台表示，相关说明会披露产能主要为公司规划产能，实际产能需综合考虑产能建设周期、产能爬坡等其他因素，目前公司实际产能适配订单需求。公司当前产能有序扩张，逐步实现规模化生产，力争达到公司年度经营战略目标。
3,孚能科技：公司产品能量密度、安全性、循环次数等性能参数表现良好，量产产品皆经过国标测试,2023-07-12 16:14:42,688567.sh,每经AI快讯，有投资者在投资者互动平台提问：最近大众电车电池爆炸事件影响较大，贵司一直自诩电池性格优秀，可否借机多做些高强度破坏性试验增加品牌影响力。 孚能科技（688567.SH）7月12日在投资者互动平台表示，公司产品能量密度、安全性、循环次数等性能参数表现良好，公司量产产品皆经过国标测试。
4,公司对磷酸锰铁锂有没有布局？孚能科技回应,2023-07-12 16:02:45,688567.sh,每经AI快讯，有投资者在投资者互动平台提问：公司对磷酸锰铁锂有没有布局？孚能科技（688567.SH）7月12日在投资者互动平台表示，公司秉承“投产一代、储备一代、开发一代”的技术开发思路，高能量密度材料体系、半固态电解质、磷酸铁锂储能电池、钠离子电池等新技术快速走向产业化，并已储备包括磷酸锰铁锂多项下一代前沿核心技术研发，公司根据市场需求适时将技术储备产业化。
5,孚能科技：公司产品具有能量密度高、安全性高、灵活度高等特点 产品适用的应用场景丰富,2023-07-12 16:02:40,688567.sh,每经AI快讯，有投资者在投资者互动平台提问：请问贵公司的电池可以给人形机器人提供动力吗？孚能科技（688567.SH）7月12日在投资者互动平台表示，公司产品具有能量密度高、安全性高、灵活度高等特点，产品适用的应用场景丰富，具体情况请留意公司后续公告。
6,孚能科技：公司钠电池产品是重点推进的研发项目之一 公司已与江铃集团签订合作协议,2023-07-12 16:02:39,688567.sh,每经AI快讯，有投资者在投资者互动平台提问：近期锂矿价格大幅回升，是否有利于贵司钠离子电池的市场开拓？之前新闻说贵司钠离子电池定点了江铃新能源EV3，现在已是5月中旬，距离之前说的6月量产只有不到半个月时间，请问该项目进展如何？续航能达到多少？
7,孚能科技：公司与Volta等海外客户有长期的合作关系,2023-07-12 15:58:42,688567.sh,每经AI快讯，有投资者在投资者互动平台提问：公司与瑞典Volta西班牙Irizar有哪些具体的合作？谢谢！ 孚能科技（688567.SH）7月12日在投资者互动平台表示，公司与Volta等海外客户有长期的合作关系。
8,孚能科技：公司二季度经营情况正常，同时积极布局储能业务、钠电池业务及其他新兴业务,2023-07-12 15:50:35,688567.sh,每经AI快讯，有投资者在投资者互动平台提问：请问公司二季度打算亏损多少亿？公司股东广州工控集团发起成立广州储能，为什么鹏辉能源参股了但是公司没有进去？是不是觉得公司管理不善不想再和公司合作了？ 孚能科技（688567.SH）7月12日在投资者互动平台表示，公司二季度经营情况正常，同时积极布局储能业务、钠电池业务及其他新兴业务，目前储能相关业务进展顺利，具体情况请留意公司定期报告。
9,孚能科技07月11日获沪股通增持7.56万股,2023-07-12 09:32:29,688567.sh,07月11日，孚能科技获沪股通增持7.56万股，最新持股量为340.45万股，占公司A股总股本的0.28%。  
