,title,post_publish_time,code_name,content
1,亿纬锂能：融资净买入1567.22万元，融资余额29.7亿元（07-12）,2023-07-13 09:08:40,300014.sz,亿纬锂能融资融券信息显示，2023年7月12日融资净买入1567.22万元；融资余额29.7亿元，较前一日增加0.53%。 融资方面，当日融资买入7461.12万元，融资偿还5893.9万元，融资净买入1567.22万元。融券方面，融券卖出3.77万股，融券偿还5.74万股，融券余量173.46万股，融券余额1.02亿元。融资融券余额合计30.72亿元。
2,亿纬锂能07月12日被深股通减持113.39万股,2023-07-13 08:11:56,300014.sz,07月12日，亿纬锂能被深股通减持113.39万股，最新持股量为9883.66万股，占公司A股总股本的4.83%。
3,亿纬锂能：关联交易事项已审议通过 对可转债发行无实质影响,2023-07-12 21:50:27,300014.sz,亿纬锂能(300014)7月11日在深交所互动易回复投资者提问时表示，公司近日收到的关于关联交易披露的《监管函》属于深交所的自律监管措施，不属于纪律处分或行政处罚，对公司可转债发行不构成实质影响。自发现上述关联交易，公司立即组织全面自查，梳理关联交易信息后已提交公司董事会及股东大会审议通过。
4,亿纬锂能：融资净偿还192.24万元，融资余额29.55亿元（07-11）,2023-07-12 08:52:29,300014.sz,亿纬锂能融资融券信息显示，2023年7月11日融资净偿还192.24万元；融资余额29.55亿元，较前一日下降0.07% 融资方面，当日融资买入7063.45万元，融资偿还7255.69万元，融资净偿还192.24万元。融券方面，融券卖出4.88万股，融券偿还7.6万股，融券余量175.43万股，融券余额1.05亿元。融资融券余额合计30.59亿元。
5,亿纬锂能07月11日被深股通减持171.57万股,2023-07-12 08:25:12,300014.sz,07月11日，亿纬锂能被深股通减持171.57万股，最新持股量为9997.05万股，占公司A股总股本的4.89%。
6,亿纬锂能关联交易未及时披露 深交所下发监管函,2023-07-11 22:38:54,300014.sz,亿纬锂能关联交易未及时披露 深交所下发监管函
7,因未及时披露关联交易事项 亿纬锂能收深交所监管函,2023-07-11 21:23:06,300014.sz,7月11日，锂电龙头企业亿纬锂能公告称，收到深交所下发的监管函。据了解，因该公司未及时披露关联交易事项，违反深交所《创业板股票上市规则（2023年修订）》的相关规定。  公告内容显示，亿纬锂能及子公司因日常生产经营需要，在2022年11月24日至2023年5月18日期间，与关联方曲靖市德枋亿纬有限公司、常州市贝特瑞新材料科技有限公司发生日常关联交易，交易金额分别为17.53亿元、5.57亿元，占公司2021年末经审计的归属于母公司股东净资产的比重分别为9.78%、3.11%。 据悉，上述日常关联交易直至2023年4月18日、5月18日才经亿纬锂能公司董事会、股东大会补充审议并对外披露。 深交所在公告中表示，请公司董事会充分重视上述问题，吸取教训、及时整改，杜绝上述问题再次发生。同时，遵守相关法律法规，认真和及时地履行信息披露义务。 针对上述事项，《证券日报》记者联系了亿纬锂能董秘以及投资者关系部相关人士，不过截至发稿前并未获得回复。  近日，有投资者在深交所的互动易平台提问：有公开报道称，小鹏汽车为了砍掉冗余车型，不惜毁约多个下给亿纬理能的电池配套订单，不知道消息是否属实？ “公司自2019年3月15日与小鹏汽车签署战略合作协议以来，始终将小鹏汽车作为最重要的战略合作伙伴之一，坚持为小鹏汽车提供从电芯到系统的全面解决方案。目前公司与小鹏汽车多款产品均形成紧密合作，达成了很好的合作效果。从2023年上半年供应占比看，亿纬锂能在小鹏汽车的供应占比最大。在未来新平台项目中，公司仍作为主要供应商，持续为小鹏汽车输出优质产品和服务。”亿纬锂能董秘如是回复。 公开资料显示，亿纬锂能2022年动力储能电池业务实现营收276.83亿元，同比增长177%；对应电池出货量超30GWh，同比增长近140%。方形铁锂电池方面，公司携手华为、沃太、小鹏、广汽等客户，2022年出货超20GWh。软包电池方面，公司主要客户为戴姆勒、现代起亚等，2022年出货约9GWh。三元方形电池方面，公司主要供应华晨宝马、哪吒汽车等，2022年已小批量出货。 “预计亿纬锂能2023年动力储能电池出货量有望达到60GWh以上，同比增长超110%，动力储能电池盈利能力稳中向好。”国信证券为电力设备及新能源分析师王蔚祺认为。
8,关联交易未及时补充审议并对外披露，亿纬锂能收深交所监管函,2023-07-11 16:22:03,300014.sz,关联交易未及时补充审议并对外披露，亿纬锂能收深交所监管函
9,深交所向惠州亿纬锂能股份有限公司发出监管函,2023-07-11 15:43:42,300014.sz,2023年7月11日，深交所向惠州亿纬锂能（SZ300014，收盘价：59.63元）股份有限公司发出监管函：2023年4月18日、5月18日，你公司分别披露《关联交易公告》、《关于关联交易的补充公告》称，公司及子公司因日常生产经营需要，在2022年11月24日至2023年5月18日期间，与关联方曲靖市德枋亿纬有限公司、常州市贝特瑞新材料科技有限公司发生日常关联交易，交易金额分别为17.53亿元、5.57亿元，占公司2021年末经审计的归属于母公司股东净资产的比重分别为9.78%、3.11%。相关日常关联交易直至2023年4月18日、5月18日才经你公司董事会、股东大会补充审议并对外披露。你公司的相关行为违反了本所《创业板股票上市规则》第1.4条、第5.1.1条、第7.2.7条、第7.2.8条的规定。请你公司董事会充分重视相关问题，吸取教训，及时整改，杜绝相关问题的再次发生。 2022年1至12月份，亿纬锂能的营业收入构成为：电子元器件制造业占比100.0%。 亿纬锂能的董事长是刘金成，男，59岁，学历背景为博士；总裁是刘建华，男，49岁，学历背景为硕士。 截至发稿，亿纬锂能市值为1220亿元。
10,亿纬锂能：融资净偿还4763.75万元，两市排名第16（07-10）,2023-07-11 08:46:38,300014.sz,亿纬锂能融资融券信息显示，2023年7月10日融资净偿还4763.75万元；融资余额29.57亿元，较前一日下降1.59%。 融资方面，当日融资买入9770.26万元，融资偿还1.45亿元，融资净偿还4763.75万元，净偿还额两市排名第16。融券方面，融券卖出10.34万股，融券偿还81.48万股，融券余量178.15万股，融券余额1.06亿元。融资融券余额合计30.62亿元。
11,亿纬锂能07月10日获深股通增持126.91万股,2023-07-11 08:00:08,300014.sz,07月10日，亿纬锂能获深股通增持126.91万股，最新持股量为1.02亿股，占公司A股总股本的4.97%。  
12,亿纬锂能：融资净买入95.98万元，融资余额30.04亿元（07-07）,2023-07-10 08:52:25,300014.sz,亿纬锂能融资融券信息显示，2023年7月7日融资净买入95.98万元；融资余额30.04亿元，较前一日增加0.03%。 融资方面，当日融资买入6164.89万元，融资偿还6068.91万元，融资净买入95.98万元。融券方面，融券卖出107.56万股，融券偿还9.12万股，融券余量249.29万股，融券余额1.42亿元。融资融券余额合计31.46亿元。
13,亿纬锂能本周融资净偿还1065.44万元，居电池板块第六,2023-07-09 15:05:07,300014.sz,亿纬锂能本周(2023/07/03-2023/07/07)累计跌幅达5.97%，截至7月7日最新股价报收56.89元。从增量上来看，7月3日至7月6日融资买入交易规模3.51亿元，融资偿还规模3.62亿元，期内融资净偿还1065.44万元。从存量上来看，截止7月9日，亿纬锂能融资融券余额30.91亿元，其中融资余额规模30.03亿元，融券余额规模8777.8万元。 亿纬锂能本周两融资金延续回落态势，融资余额已连续2周降低累计达3209.94万元。在两市3196家融资融券标的中，亿纬锂能期内融资净买入值排名第2770，期末融资余额排名第48。按东财二级行业分类的融资融券标的统计情况来看，在所属电池板块中，亿纬锂能本周融资净买入额排名38/43，期末融资余额行业排名2/43。
