,title,post_publish_time,code_name,content
11,百利电气：公司第三期员工持股计划尚未开始购买公司股票,2023-07-14 21:18:46,600468.sh,百利电气（SH600468，收盘价：4.99元）7月14日晚间发布公告称，截至本公告披露日，公司第三期员工持股计划尚未开始购买公司股票。2022年1至12月份，百利电气的营业收入构成为：制造业占比96.73%。百利电气的董事长是杨川，男，学历背景为博士。截至发稿，百利电气市值为54亿元。
12,百利电气：公司没有金属材料产业,2023-07-10 16:51:30,600468.sh,每经AI快讯，有投资者在投资者互动平台提问：公司拥有金属材料产业吗？百利电气（600468.SH）7月10日在投资者互动平台表示，公司没有金属材料产业。公司主营业务为输配电及控制设备、电线电缆及泵的研发、生产和销售。
30,大宗交易：百利电气成交161.77万元，折价1.58%（03-14）,2023-03-14 17:25:50,600468.sh,2023年3月14日，百利电气发生了1笔大宗交易，总成交32.55万股，成交金额161.77万元，成交价4.97元。当日收盘报价5.05元，涨幅0.60%，成交金额6.07亿元；大宗交易成交金额占当日成交金额0.27%，折价1.58%。 3月14日，中芯国际、晶科能源、昊华科技、亚康股份、江苏阳光等公司均发生大宗交易，具体情况如下表：
33,大宗交易：百利电气成交1580.8万元，折价1.59%（03-13）,2023-03-13 17:14:29,600468.sh,2023年3月13日，百利电气发生1笔大宗交易，总成交320万股，成交金额1580.8万元，成交价4.94元，折价1.59%。
35,“室温超导”火爆全网 中科院解读来了！上市公司纷纷回应,2023-03-11 14:03:58,600468.sh,近日，美国罗切斯特大学科学家RangaDias领衔的团队声称，该团队研发的由氢、氮、镥三种元素组成的三元相超导体材料，在大约1GPa(相当于约1万个大气压)下可以实现约294K(约21℃)的室温超导电性。RangaDias本人称，该项研究将是一项重塑21世纪的革命性技术。 不过，这项研究遭到了一些科学家的质疑。3月10日下午，在中国科学院物理研究所举行的一场名为“1GPa压力下的室温超导现象的解读会”上，中国科学院物理研究所研究员孙力玲称，从实验的角度，对RangaDias团队实验结果的部分细节存在一些疑问。 市场方面，截至3月10日收盘，超导概念股涨跌分化，百利电气及法尔胜两连板，当日早盘一度跌超6%的永鼎股份快速翻红，收盘上涨3.04%。西部超导收盘跌幅达4.57%，宝胜股份、联创光电等跟跌。  超导材料不仅在临界温度下具有零电阻特性，而且在一定的条件下还具备完全抗磁性和宏观量子效应等常规导体所不具备的特性，这些性质使超导体能够实现大电流传输、获得强磁场、实现磁悬浮、检测微弱磁场信号等多种应用。因此，其被广泛应用于电子通信、电力能源、交通运输、国防军事、医疗器械等诸多领域。 RangaDias在2020年曾发表类似论文称，在260万个大气压下，成功创造出了临界温度约为15℃的室温超导材料，但这篇论文后来被《自然》杂志撤稿。 对此，RangaDias近日在对媒体的回信中表示，“首先，这项工作在我们的罗彻斯特大学实验室和其他实验室都重复了好几次，并有第三方观察和独立的工作验证；其次，我们的论文已经经过了同行审议，并符合该出版物的严格标准；最后，我们还重新提交了2020年的论文供《自然》杂志再次审议，因为《自然》杂志编辑当时提出的问题对实验数据的质量或我们得出的结论没有影响。我们也对2020年当时工作和实验的质量充满信心。” RangaDias称：“这种新的室温超导材料将改变整个超导行业，将使得一系列技术成为可能，并将改变我们使用、存储和传输能源的方式，更不用说在计算、交通和医疗设备中的更多种应用了。我们认为这将是一项重塑21世纪的革命性技术。” 但他同时也承认，要将其团队室温超导新材料的发现应用到任何规模的现实世界中，还需要几年的艰苦工作。 民生证券研究所电子首席分析师方竞在接受中国证券报记者采访时表示，超导领域目前有两种技术路线，一种是低温和高温，一种是高压。“对于新研究的出现会不会颠覆高温超导，我认为目前室温超导需要高压环境，物理学上意义较大，但实际应用领域还有待观察。高温超导目前需用液氮来冷却，相对来说成本会低一点，可行性更好，商业化前景相对较好。”  中国科学院物理研究所3月10日举行的“1GPa压力下的室温超导现象的解读会”上，研究员孙力玲从实验的角度对RangaDias团队实验结果的部分细节存在一些疑问。 例如，在另一轮电阻测量结果中，有一样品没有达到零电阻，作者解释该结果是由于测量仪器漂移，采用函数拟合再减去220k以下的背底，得到零电阻。“一般而言，仪器漂移是很少见的，我在实验中暂时没有见过。”孙力玲说。 “接近室温的超导体颜色不同于已知超导体，竟然是粉色，与通常看到的超导体具有的黑色和褐色等完全不同。”孙力玲称，如果其颜色是样品的本色，说明即使将来其他研究组可以从实验上证实其超导电性，这种超导体也应该不是以前所知道的超导体。 “我太惊讶了，昨天接到了不认识的两个金融界的人士的电话，问可不可以投资或是否有企业在国内做这个事情。作为超导研究的学者，我觉得我们肩负重担。”孙力玲表示。 3月9日，中国科学院物理研究所研究员、科普作家罗会仟发表题为《室温超导引爆全网？！科学家：淡定！》的文章称，实验结果验证方面，可能需要几周或者一两个月的时间，或将有实验室能完成对这项工作的验证。 “如果这个工作被证实是可重复的，是真的，那确实对超导界会有比较大的冲击。不过，一种超导材料要想被应用，临界温度、临界磁场和临界电流密度都很重要，三个参数都要高，才能具备大规模应用的基础。所以，并不是找到了一种室温超导体，就马上能用了，就立刻带来技术革命、能源革命，现在还远远到不了这个地步。”罗会仟说。  3月10日晚间，百利电气发布股票异动公告称，公司关注到室温超导热点概念。公司主营业务为输配电及控制设备、电线电缆及泵。公司不涉及“室温超导”相关业务，也未开展相关研发和投入。公司下属控股子公司北京英纳超导技术有限公司从事铋系高温超导线材的研发生产，与“室温超导”无关。2021年度，北京英纳超导技术有限公司营业收入8.76万元，实现净利润-601.45万元。目前收入金额小，处于亏损状态，不会对公司业绩产生重大影响。 此前，永鼎股份也在3月9日晚间公告称，公司主营业务为通信科技、海外电力工程、汽车线束及超导电力，不涉及“室温超导”相关业务，也未开展相关研发和投入。 据去年9月发布的投资者关系活动记录表，永鼎股份称，高温超导发展进入加速期，关键应用领域方面取得多项重要进展。公司2021年报显示，超导产业是公司的战略性长期发展方向之一，是公司坚持了十多年的基础科学领域的重要创新研发项目。公司已具备小批量的生产能力，且已开始向用户提供性能指标优良的超导带材。但目前超导带材的制备成本仍然较高，商业化可能较预期迟滞，有可能导致公司达成目标的不确定性。
36,2连板热门股提示风险！多股火速澄清 事关25万股东！下周3股解禁压力较大,2023-03-11 13:01:50,600468.sh,百利电气昨日盘中直线拉升封板，至此，百利电气两连板，累计涨幅20.85%。 公司下属控股子公司北京英纳超导技术有限公司从事铋系高温超导线材的研发生产，与“室温超导”无关。2021年度，北京英纳超导技术有限公司营业收入8.76万元，净利润亏损601.45万元。目前收入金额小，处于亏损状态，不会对公司业绩产生重大影响。 近日，美国罗切斯特大学的物理学家RangaDias及其团队日前在美国物理学会会议上宣布，他们找到了一种由氢、氮和镥组成的新材料，能在室温和不太高的压力环境条件下表现出超导性。随着消息传开，室温超导成为A股市场热点，多只概念股收获涨停板。 近日，多家上市公司先后对超导业务予以澄清。3月9日盘后，乘“超导”风涨停的永鼎股份表示，不涉及“室温超导”相关业务，也未开展相关研发和投入；汉缆股份回复投资者时表示，该公司目前暂未有超导技术规划及应用。昨日盘后，中科电气通过深交所互动易平台回答投资者提问称，公司目前没有涉足超导领域。 目前发布澄清消息的4股，持股股东户数合计有25.66万户。  下周将有36只股解禁，按照最新收盘价计算，合计解禁市值478.91亿元。软通动力、东岳硅材、腾远钴业解禁市值居前，均超50亿元。 软通动力解禁市值规模最大，下周将有2.96亿股上市流通，主要为首发原股东限售股份和首发战略配售股份，解禁市值达110.57亿元。 钜泉科技、路斯股份、菱电电控、有研粉材等12股的解禁压力较小，解禁市值均不足亿元。其中景津装备、科威尔的解禁市值不足千万。 14股解禁股数量占总股本比例超过10%，卫星化学、景津装备、药明康德的解禁比例较小。  下周将要解禁个股中，其中天娱数科、莱特光电、国网信通等13股涨幅均超10%。 26股发布2022年业绩预告或快报，按照预告下限数据和快报数据综合来看，多数个股实现盈利，药明康德、国网信通、景津装备的归母净利润额居前，分别达93.99亿元、8.01亿元和8亿元。业绩增长幅度来看，格灵深瞳-U、瑞可达、钜泉科技、药明康德的归母净利润同比增长幅度居前。
37,盘中直线封板 百利电气：不涉及“室温超导”相关业务,2023-03-10 23:02:00,600468.sh,3月10日，百利电气发布股票交易异常波动公告，公司不涉及“室温超导”相关业务，也未开展相关研发和投入。 盘面上，百利电气盘中直线拉升封板，截至收盘，该股报5.21元。 公告称，公司下属控股子公司北京英纳超导技术有限公司从事铋系高温超导线材的研发生产，与“室温超导”无关。2021年度，北京英纳超导技术有限公司营业收入8.76万元，实现净利润-601.45万元。目前收入金额小，处于亏损状态，不会对公司业绩产生重大影响。请广大投资者注意投资风险，理性决策，审慎投资。 据公告，公司主营业务为输配电及控制设备、电线电缆及泵。
38,百利电气称不涉及“室温超导”相关业务,2023-03-10 20:41:14,600468.sh,3月10日晚间，百利电气(600468)发布公告称，公司主营业务为输配电及控制设备、电线电缆及泵。公司不涉及“室温超导”相关业务，也未开展相关研发和投入。因被市场看作是室温超导概念股，百利电气于3月9日、3月10日两个交易日涨停，截至3月10日收盘，百利电气报5.21元/股，涨幅为9.92%。百利电气表示，公司关注到室温超导热点概念。
39,两连板的百利电气：公司不涉及“室温超导”相关业务,2023-03-10 20:34:08,600468.sh,3月10日，两连板的百利电气发布股票交易异常波动公告。公告称，公司主营业务为输配电及控制设备、电线电缆及泵。公司不涉及“室温超导”相关业务，也未开展相关研发和投入。公司下属控股子公司北京英纳超导技术有限公司从事铋系高温超导线材的研发生产，与“室温超导”无关。2021年度，北京英纳超导技术有限公司营业收入8.76万元，实现净利润-601.45万元。
40,百利电气：公司不涉及“室温超导”相关业务,2023-03-10 19:09:53,600468.sh,百利电气(600468)3月10日晚间发布股票交易异动公告，公司主营输配电及控制设备、电线电缆及泵业务，不涉及“室温超导”相关业务，也未开展相关研发和投入。公司下属控股子公司北京英纳超导技术有限公司从事铋系高温超导线材的研发生产，与“室温超导”无关。2021年度，北京英纳超导技术有限公司营业收入8.76万元，实现净利润-601.45万元，目前收入金额小，处于亏损状态。
41,百利电气：公司不涉及“室温超导”相关业务 也未开展相关研发和投入,2023-03-10 19:07:07,600468.sh,【百利电气：公司不涉及“室温超导”相关业务 也未开展相关研发和投入】百利电气发布股票异动公告，公司主营业务为输配电及控制设备、电线电缆及泵。公司不涉及“室温超导”相关业务，也未开展相关研发和投入。公司下属控股子公司北京英纳超导技术有限公司从事铋系高温超导线材的研发生产，与“室温超导”无关。
42,中国银河证券绍兴营业部今日净买入1463.32万,2023-03-10 17:45:02,600468.sh,2023年3月10日交易公开信息显示，中国银河证券绍兴营业部上榜百利电气、新炬网络，交易明细数据如下表：
